,target
14714,1
22945,1
7176,0
12777,1
20019,1
2124,0
12361,1
5659,0
3976,0
732,0
5196,0
3763,0
79,0
4561,0
2331,0
4506,0
333,0
11056,0
17483,1
13651,1
22512,1
16884,1
9075,0
16659,1
15742,1
21494,1
6834,0
20685,1
18025,1
6177,0
6247,0
20811,1
12480,1
4289,0
18212,1
5400,0
214,0
16863,1
20773,1
4801,0
12286,1
3154,0
106,0
23191,1
16160,1
3404,0
7716,0
15021,1
15644,1
9889,0
6525,0
18996,1
6387,0
16027,1
22226,1
16055,1
1528,0
22539,1
965,0
17281,1
11827,1
455,0
10454,0
7053,0
17427,1
13637,1
18470,1
9286,0
14934,1
16853,1
13309,1
14655,1
20726,1
18653,1
16382,1
11000,0
20639,1
21223,1
3646,0
13297,1
20597,1
173,0
18260,1
19072,1
8527,0
16253,1
11820,1
1526,0
8591,0
20149,1
749,0
611,0
8052,0
22213,1
10249,0
17293,1
9953,0
9806,0
5175,0
12800,1
9387,0
14118,1
7836,0
2030,0
14028,1
16043,1
17148,1
4052,0
348,0
21399,1
9294,0
18569,1
21478,1
16600,1
3736,0
10092,0
14813,1
22906,1
1562,0
18641,1
5623,0
20706,1
14647,1
22563,1
2755,0
3212,0
7401,0
20725,1
14737,1
19183,1
15744,1
4721,0
8835,0
15481,1
5965,0
8254,0
11288,0
13593,1
13867,1
4096,0
6459,0
19602,1
1565,0
17278,1
7711,0
15294,1
9555,0
18382,1
15505,1
11917,1
21617,1
21021,1
20094,1
7276,0
17067,1
9977,0
15478,1
18453,1
9723,0
20751,1
11078,0
9613,0
7463,0
10741,0
4422,0
12887,1
2679,0
22700,1
19573,1
19153,1
14097,1
18505,1
1521,0
12770,1
10700,0
5030,0
5011,0
13352,1
3591,0
19523,1
3905,0
2446,0
7720,0
16024,1
19104,1
15311,1
13340,1
9416,0
7092,0
11316,0
2056,0
22769,1
2304,0
12566,1
4553,0
19666,1
12904,1
8387,0
16879,1
22575,1
18265,1
5346,0
641,0
9091,0
5361,0
4427,0
17872,1
1896,0
18885,1
11901,1
4429,0
13315,1
19793,1
3774,0
12266,1
216,0
22544,1
5291,0
4221,0
17828,1
20771,1
1615,0
10206,0
3973,0
5860,0
17083,1
18065,1
9790,0
21767,1
17673,1
1803,0
20952,1
22039,1
15973,1
16026,1
16432,1
19397,1
19586,1
13728,1
9924,0
13961,1
8135,0
772,0
19146,1
3597,0
394,0
13936,1
3427,0
21784,1
4948,0
5125,0
10140,0
20021,1
19727,1
16982,1
20943,1
16888,1
5717,0
2029,0
18573,1
23049,1
2057,0
13498,1
22757,1
16641,1
7562,0
22696,1
19399,1
22890,1
16304,1
17355,1
494,0
18900,1
2816,0
8938,0
20168,1
14509,1
18824,1
4098,0
7501,0
10551,0
9646,0
15591,1
22925,1
22481,1
2288,0
1408,0
17763,1
13837,1
8153,0
20972,1
8204,0
16624,1
18667,1
13884,1
14469,1
18666,1
3678,0
5681,0
21941,1
7962,0
19041,1
7854,0
14452,1
1399,0
15530,1
12409,1
11170,0
506,0
17811,1
15754,1
17155,1
21817,1
10043,0
22852,1
8108,0
2473,0
6349,0
4592,0
15224,1
1922,0
23081,1
10049,0
9666,0
7161,0
19341,1
7897,0
23223,1
6260,0
8142,0
4589,0
14298,1
11403,0
8966,0
15967,1
11886,1
4130,0
22480,1
18840,1
1217,0
6827,0
961,0
22822,1
9232,0
2391,0
279,0
1954,0
6321,0
6055,0
1740,0
22615,1
15725,1
8649,0
17035,1
5962,0
16528,1
15041,1
1345,0
63,0
22336,1
14321,1
3029,0
11771,1
21332,1
3192,0
19871,1
10645,0
1454,0
20732,1
9492,0
2598,0
18377,1
8824,0
1817,0
17273,1
8253,0
17878,1
8097,0
3098,0
16066,1
3446,0
12221,1
9584,0
18041,1
6822,0
633,0
10961,0
10115,0
6961,0
10596,0
7080,0
3132,0
14867,1
2940,0
10690,0
1032,0
15066,1
6804,0
21041,1
10818,0
21064,1
679,0
20994,1
4169,0
12936,1
8599,0
13248,1
19512,1
21517,1
4122,0
9815,0
9787,0
11933,1
9745,0
8140,0
170,0
2882,0
3205,0
14971,1
15610,1
18011,1
15851,1
1033,0
10316,0
19527,1
1385,0
1295,0
8875,0
16144,1
20173,1
14032,1
18797,1
17336,1
20870,1
13220,1
7360,0
8871,0
14518,1
1497,0
16036,1
8992,0
747,0
19587,1
5981,0
22450,1
2206,0
3056,0
13674,1
14967,1
590,0
17459,1
7508,0
16536,1
18829,1
1491,0
6569,0
12850,1
19609,1
16383,1
7089,0
5265,0
13060,1
9154,0
3136,0
9262,0
8722,0
15019,1
7556,0
15347,1
8379,0
3325,0
5803,0
14133,1
14403,1
4316,0
16218,1
16674,1
8968,0
9982,0
15981,1
4682,0
11822,1
3360,0
15532,1
7202,0
4764,0
19637,1
21016,1
16442,1
12547,1
824,0
22967,1
17150,1
19084,1
1612,0
20566,1
17835,1
16515,1
10777,0
1451,0
4876,0
1513,0
2675,0
12894,1
9717,0
6608,0
5089,0
10806,0
22113,1
8713,0
14273,1
2256,0
1744,0
19042,1
4862,0
16396,1
811,0
868,0
18324,1
17585,1
9734,0
20485,1
16476,1
3280,0
21007,1
15082,1
8785,0
14782,1
8596,0
13357,1
22494,1
10906,0
3504,0
3524,0
15671,1
9210,0
22371,1
5420,0
6724,0
18439,1
5079,0
20990,1
2558,0
22225,1
10036,0
21010,1
13114,1
11388,0
22650,1
19615,1
13765,1
11451,0
8520,0
22323,1
11495,0
7319,0
19427,1
5294,0
4473,0
12767,1
13597,1
21339,1
18613,1
9935,0
21735,1
12741,1
2016,0
20688,1
21547,1
3605,0
16151,1
14876,1
9452,0
4604,0
6147,0
13784,1
17541,1
18970,1
22972,1
131,0
23109,1
4643,0
12065,1
497,0
19444,1
4826,0
6174,0
13826,1
15139,1
14847,1
18855,1
19404,1
16477,1
9395,0
6324,0
9771,0
10252,0
19257,1
19367,1
11127,0
14569,1
17788,1
14907,1
12223,1
10920,0
14932,1
7541,0
763,0
11815,1
5924,0
13073,1
12587,1
5066,0
6840,0
7594,0
14375,1
2769,0
22464,1
1953,0
22051,1
20107,1
18675,1
11155,0
8507,0
22486,1
4120,0
19387,1
10429,0
17803,1
9086,0
23136,1
4908,0
9573,0
605,0
15,0
14048,1
6412,0
22040,1
19373,1
5766,0
3049,0
7728,0
3952,0
309,0
9675,0
9445,0
11931,1
1149,0
2517,0
18342,1
16225,1
2128,0
702,0
21716,1
4866,0
3674,0
3842,0
21524,1
19285,1
1111,0
14134,1
20503,1
10705,0
16046,1
637,0
8440,0
2406,0
10657,0
13078,1
6746,0
8888,0
9814,0
12827,1
15702,1
9981,0
2228,0
21595,1
15270,1
17458,1
5612,0
21072,1
5455,0
7879,0
7686,0
70,0
7878,0
5768,0
1178,0
18118,1
16505,1
21658,1
10083,0
13845,1
2010,0
18106,1
18039,1
16937,1
10190,0
21601,1
1902,0
10281,0
21923,1
20161,1
3759,0
13150,1
6047,0
23178,1
2957,0
20397,1
16120,1
22918,1
18430,1
6907,0
9751,0
17596,1
11985,1
7078,0
9114,0
944,0
14735,1
11354,0
8890,0
17531,1
14415,1
12801,1
8062,0
16137,1
13797,1
9674,0
8559,0
18248,1
17176,1
9396,0
14503,1
1152,0
14891,1
4313,0
6274,0
21370,1
9352,0
17979,1
10204,0
6787,0
2474,0
6765,0
2945,0
9285,0
3188,0
21618,1
10911,0
16916,1
18869,1
184,0
10074,0
16796,1
13367,1
21854,1
15854,1
14301,1
20937,1
21143,1
19630,1
18366,1
8784,0
22272,1
15248,1
6018,0
1028,0
14238,1
8463,0
3925,0
5777,0
22854,1
8730,0
5562,0
15258,1
1360,0
5950,0
9143,0
21533,1
4905,0
6656,0
2341,0
17108,1
13088,1
13764,1
10502,0
528,0
2369,0
8287,0
13207,1
2631,0
22102,1
16685,1
21895,1
12293,1
11946,1
303,0
4162,0
15390,1
19765,1
4536,0
4597,0
12283,1
16355,1
465,0
22477,1
9389,0
21587,1
4209,0
12885,1
15839,1
5123,0
18772,1
14972,1
15272,1
13769,1
14935,1
21816,1
19469,1
17147,1
14446,1
2320,0
13166,1
2019,0
14221,1
567,0
16889,1
3510,0
21459,1
4486,0
1945,0
22562,1
14441,1
7487,0
14797,1
19538,1
5807,0
2570,0
8914,0
22130,1
12590,1
13587,1
6263,0
18526,1
2306,0
13110,1
11679,1
20596,1
7762,0
3283,0
17691,1
1138,0
14362,1
14542,1
20181,1
8302,0
18362,1
7803,0
7514,0
18104,1
12589,1
158,0
10644,0
20016,1
19382,1
22709,1
2060,0
881,0
19940,1
17250,1
4959,0
7050,0
4883,0
14682,1
15621,1
6762,0
6615,0
15642,1
4802,0
15718,1
6299,0
15571,1
16539,1
6505,0
8600,0
18021,1
18471,1
7749,0
2058,0
18867,1
16903,1
8850,0
19408,1
7075,0
13177,1
22913,1
6339,0
18166,1
5821,0
8619,0
4716,0
2215,0
6994,0
9839,0
1482,0
10527,0
16629,1
20195,1
6632,0
10726,0
5444,0
11405,0
13717,1
18359,1
15100,1
8561,0
2548,0
642,0
18306,1
16909,1
3469,0
13848,1
142,0
2398,0
4064,0
4781,0
1858,0
14459,1
6579,0
3723,0
15856,1
3355,0
521,0
7859,0
4030,0
20270,1
22565,1
13175,1
21057,1
21504,1
12859,1
9249,0
22044,1
17311,1
14762,1
17766,1
872,0
9630,0
18849,1
6658,0
19514,1
4231,0
21087,1
306,0
11406,0
13873,1
19098,1
19294,1
10999,0
12594,1
5181,0
19007,1
15456,1
1924,0
11557,0
11977,1
11506,0
20039,1
6208,0
9543,0
13431,1
5161,0
19825,1
9058,0
5819,0
11060,0
4301,0
13115,1
10641,0
14428,1
5936,0
15952,1
260,0
17207,1
11191,0
14085,1
19772,1
1091,0
13576,1
6931,0
4649,0
16601,1
19135,1
13246,1
7142,0
9025,0
22708,1
14674,1
9444,0
22789,1
16908,1
9090,0
532,0
2417,0
4041,0
4676,0
2921,0
17390,1
2249,0
5479,0
12825,1
17406,1
19704,1
9457,0
1718,0
18905,1
2459,0
6793,0
10547,0
8621,0
19669,1
17804,1
759,0
12304,1
14106,1
3338,0
13573,1
21075,1
6060,0
16049,1
6621,0
13823,1
19750,1
7470,0
3691,0
5767,0
4395,0
6205,0
2903,0
1839,0
19732,1
20889,1
17158,1
14205,1
6758,0
3339,0
15171,1
11893,1
620,0
1656,0
2628,0
19497,1
20543,1
14709,1
1999,0
10899,0
18496,1
3881,0
16506,1
4215,0
17393,1
16948,1
7224,0
1723,0
5747,0
6104,0
20711,1
8814,0
2407,0
10885,0
3465,0
20323,1
10363,0
22923,1
16116,1
22904,1
443,0
15189,1
972,0
376,0
16407,1
825,0
704,0
13263,1
23129,1
2655,0
9592,0
14066,1
20376,1
16849,1
10529,0
14568,1
3442,0
18409,1
6820,0
18890,1
11758,1
16734,1
2337,0
8638,0
4872,0
3066,0
14618,1
19619,1
21955,1
3909,0
21930,1
2639,0
15403,1
703,0
5172,0
1934,0
15257,1
4694,0
13791,1
5526,0
14149,1
8031,0
2804,0
8272,0
18215,1
13802,1
8653,0
4661,0
8945,0
16008,1
11895,1
18198,1
14088,1
4129,0
1049,0
8667,0
18057,1
16426,1
18495,1
171,0
14587,1
16469,1
13443,1
10048,0
4617,0
12520,1
908,0
18312,1
19453,1
2293,0
15777,1
10033,0
7273,0
5651,0
757,0
16256,1
4121,0
16811,1
9393,0
8303,0
21161,1
7229,0
1701,0
5879,0
22168,1
14705,1
14007,1
978,0
15700,1
21392,1
1499,0
7730,0
7570,0
6194,0
22389,1
8301,0
13104,1
4960,0
18361,1
22536,1
4364,0
21148,1
11571,0
13514,1
12912,1
19768,1
14759,1
7699,0
19074,1
12483,1
6639,0
22658,1
16111,1
20722,1
2416,0
22921,1
1614,0
15835,1
9273,0
8976,0
21094,1
11505,0
2366,0
11160,0
9347,0
15075,1
4786,0
3996,0
7074,0
17550,1
7540,0
3679,0
20298,1
18006,1
13725,1
13066,1
12119,1
18307,1
11941,1
17989,1
8408,0
20053,1
4970,0
20342,1
5531,0
12012,1
22801,1
6101,0
6395,0
11800,1
5608,0
11592,0
8093,0
19876,1
4878,0
3804,0
8771,0
18668,1
6486,0
13789,1
16483,1
7663,0
22733,1
11147,0
17418,1
10489,0
13351,1
18436,1
7546,0
13755,1
14299,1
8955,0
12560,1
15180,1
12551,1
8836,0
14739,1
11812,1
13702,1
2340,0
9381,0
2913,0
20037,1
7004,0
16560,1
18192,1
10590,0
19073,1
9394,0
19253,1
7207,0
12635,1
19475,1
2477,0
8674,0
12705,1
16094,1
19980,1
4558,0
16496,1
7904,0
19733,1
20468,1
12311,1
13292,1
7039,0
13262,1
6021,0
1126,0
3939,0
7308,0
22782,1
6634,0
13396,1
15564,1
20807,1
1669,0
11424,0
11265,0
8176,0
17472,1
20138,1
15683,1
15617,1
3898,0
11983,1
6744,0
7919,0
11256,0
6156,0
3312,0
479,0
1596,0
18109,1
12051,1
21284,1
10679,0
10038,0
22591,1
8473,0
17326,1
10379,0
8839,0
14550,1
17134,1
11513,0
20077,1
5715,0
1786,0
11148,0
22980,1
15746,1
17645,1
5718,0
18992,1
9415,0
8040,0
21820,1
883,0
543,0
13571,1
8798,0
17367,1
17249,1
13960,1
12642,1
4919,0
12121,1
21811,1
19220,1
22231,1
1977,0
10795,0
16409,1
10336,0
4457,0
19353,1
2160,0
7820,0
990,0
18183,1
21568,1
22382,1
5434,0
20871,1
22114,1
21361,1
19946,1
510,0
10129,0
17054,1
8348,0
16203,1
9243,0
8194,0
839,0
18417,1
19990,1
3957,0
4839,0
4889,0
20211,1
762,0
19241,1
18980,1
4840,0
17553,1
13706,1
7076,0
1142,0
6189,0
13580,1
12807,1
14274,1
5461,0
16074,1
5156,0
1801,0
4756,0
12252,1
12042,1
21481,1
530,0
18937,1
12679,1
9827,0
1919,0
10945,0
124,0
20975,1
15614,1
23216,1
16572,1
1949,0
22131,1
13883,1
14774,1
20524,1
10604,0
21374,1
19989,1
10571,0
20813,1
22901,1
21301,1
6341,0
11068,0
13372,1
847,0
13697,1
20036,1
7894,0
1903,0
16031,1
13572,1
6679,0
13236,1
15159,1
1183,0
11118,0
3060,0
3859,0
22732,1
13359,1
288,0
9293,0
9805,0
582,0
4687,0
3270,0
7035,0
12088,1
3879,0
15044,1
2180,0
23182,1
20263,1
10327,0
7623,0
19702,1
10613,0
15548,1
15982,1
15573,1
14803,1
12882,1
10155,0
12624,1
22684,1
6201,0
19809,1
15983,1
7635,0
21989,1
19021,1
12339,1
14942,1
10399,0
17436,1
185,0
9055,0
13442,1
21433,1
4062,0
10857,0
17981,1
12366,1
1415,0
22137,1
11697,1
12525,1
15439,1
22552,1
12157,1
12027,1
6413,0
4327,0
8776,0
13661,1
9049,0
17454,1
7670,0
21602,1
12980,1
9786,0
6630,0
7380,0
17527,1
18614,1
2952,0
16340,1
18940,1
6805,0
9113,0
19034,1
2205,0
19872,1
19962,1
22966,1
14112,1
2456,0
8823,0
10523,0
6096,0
22838,1
11090,0
19974,1
7475,0
2552,0
6975,0
8651,0
15363,1
1665,0
18126,1
3837,0
20746,1
2582,0
802,0
9179,0
22369,1
8916,0
20292,1
20313,1
10282,0
15962,1
7963,0
16166,1
20593,1
1811,0
14702,1
3527,0
9983,0
16987,1
4295,0
602,0
13634,1
20127,1
11701,1
5040,0
10360,0
14396,1
3275,0
10525,0
1760,0
22074,1
13160,1
11137,0
13169,1
14652,1
15024,1
19010,1
13191,1
20557,1
43,0
13054,1
4969,0
22786,1
13554,1
17444,1
13618,1
21501,1
18137,1
23088,1
874,0
6877,0
13781,1
15987,1
1626,0
18403,1
11887,1
12282,1
2280,0
9563,0
13501,1
979,0
18687,1
3819,0
22654,1
19971,1
15348,1
1179,0
1018,0
2955,0
21359,1
21879,1
17257,1
2400,0
6945,0
4646,0
16330,1
16974,1
20320,1
22257,1
22341,1
5425,0
949,0
18662,1
11183,0
15208,1
5674,0
15656,1
13775,1
10259,0
11507,0
5604,0
17943,1
18547,1
321,0
1334,0
19431,1
8217,0
17177,1
19287,1
15027,1
7254,0
14393,1
4359,0
11844,1
20378,1
948,0
22693,1
14265,1
21312,1
14460,1
5228,0
19336,1
11976,1
16622,1
20452,1
10099,0
4227,0
14181,1
22870,1
13906,1
21535,1
18576,1
14015,1
6393,0
10811,0
5120,0
18061,1
10031,0
19498,1
5239,0
8289,0
9656,0
2504,0
20741,1
10371,0
11364,0
7391,0
8954,0
22498,1
110,0
20894,1
11621,1
21871,1
10946,0
14186,1
11896,1
21438,1
4077,0
15490,1
14253,1
10917,0
6560,0
11732,1
14313,1
18459,1
8437,0
5063,0
10470,0
16207,1
18957,1
15557,1
95,0
11610,0
19695,1
2611,0
10098,0
11010,0
8411,0
23035,1
20629,1
18902,1
10925,0
12971,1
16102,1
10649,0
16783,1
5703,0
20832,1
17819,1
6457,0
14187,1
14241,1
14780,1
6742,0
22753,1
8851,0
19984,1
4791,0
4200,0
21086,1
8085,0
319,0
9432,0
13943,1
10567,0
11520,0
5913,0
5614,0
14384,1
5493,0
9408,0
17505,1
330,0
9978,0
9004,0
10170,0
3116,0
12691,1
3331,0
613,0
23056,1
7579,0
722,0
12865,1
5806,0
6158,0
13312,1
18570,1
11041,0
15486,1
22774,1
10302,0
12527,1
16966,1
11881,1
17431,1
7496,0
2259,0
3464,0
22249,1
6900,0
9925,0
7874,0
6125,0
19629,1
1278,0
22433,1
18079,1
14765,1
21639,1
10216,0
11210,0
10884,0
6057,0
17861,1
16520,1
7018,0
5688,0
10184,0
12090,1
51,0
8500,0
10856,0
92,0
8218,0
9923,0
23201,1
4329,0
22410,1
14827,1
22125,1
10537,0
11277,0
10510,0
7444,0
19231,1
8554,0
16790,1
20964,1
16951,1
17750,1
5340,0
15389,1
15264,1
7822,0
17877,1
9167,0
7971,0
14495,1
10986,0
3869,0
12204,1
20957,1
16707,1
20110,1
12660,1
2593,0
16519,1
9780,0
20186,1
16693,1
4526,0
21095,1
8484,0
20237,1
11184,0
6050,0
8846,0
8166,0
9703,0
22965,1
6676,0
21108,1
13942,1
9705,0
10265,0
17894,1
10788,0
7636,0
19734,1
573,0
15014,1
10564,0
18650,1
6993,0
5396,0
15937,1
11809,1
5679,0
68,0
22188,1
13497,1
2999,0
4746,0
12138,1
8532,0
14505,1
22977,1
5691,0
12220,1
14137,1
18326,1
17587,1
13589,1
15341,1
15234,1
4341,0
3017,0
20646,1
23093,1
8014,0
12550,1
4075,0
20472,1
9664,0
11540,0
17663,1
16361,1
15889,1
17892,1
22892,1
12789,1
3495,0
7143,0
22451,1
22974,1
11427,0
12331,1
1485,0
19701,1
7652,0
13005,1
13203,1
15304,1
4267,0
10586,0
14240,1
675,0
5134,0
23,0
21913,1
16988,1
11052,0
16305,1
14922,1
3046,0
2036,0
3065,0
14095,1
6109,0
18722,1
7098,0
6375,0
7871,0
7980,0
12341,1
6927,0
1041,0
15131,1
22198,1
21012,1
9605,0
114,0
6991,0
9390,0
4250,0
7550,0
8422,0
12838,1
19436,1
18648,1
3853,0
12539,1
5813,0
16763,1
21945,1
1758,0
4310,0
7644,0
10895,0
3680,0
13483,1
20906,1
3598,0
17404,1
1480,0
7410,0
13165,1
12056,1
6278,0
12344,1
19111,1
9869,0
6319,0
21826,1
21654,1
17885,1
19794,1
12639,1
10796,0
1780,0
19410,1
21461,1
3822,0
18035,1
22077,1
9443,0
11244,0
5837,0
16412,1
19219,1
16295,1
13696,1
10247,0
5044,0
20231,1
3838,0
13326,1
6351,0
18319,1
588,0
19450,1
13310,1
16132,1
22454,1
18116,1
7790,0
18374,1
607,0
17504,1
12202,1
20048,1
23106,1
2984,0
3279,0
9066,0
2815,0
20004,1
2649,0
4923,0
16447,1
2347,0
21741,1
16681,1
11648,1
13972,1
6635,0
8721,0
6708,0
1414,0
17646,1
22610,1
8860,0
6157,0
3033,0
16126,1
3628,0
13418,1
5289,0
5556,0
1348,0
8495,0
7063,0
10460,0
9895,0
21089,1
15393,1
5896,0
8562,0
12378,1
1618,0
8471,0
7045,0
2924,0
3206,0
20484,1
4274,0
15394,1
23209,1
10411,0
21576,1
14341,1
1950,0
4829,0
10928,0
17707,1
13086,1
1068,0
3660,0
14802,1
12350,1
2470,0
2274,0
11159,0
1265,0
12351,1
10958,0
7864,0
2845,0
3038,0
17994,1
11698,1
17745,1
8774,0
15501,1
21039,1
5032,0
21596,1
347,0
15105,1
2260,0
6277,0
13295,1
7091,0
18645,1
9919,0
5880,0
4952,0
8762,0
1477,0
8372,0
13354,1
22819,1
17739,1
9029,0
11019,0
7248,0
255,0
7283,0
12246,1
4513,0
13787,1
10823,0
107,0
3717,0
6702,0
416,0
6516,0
4825,0
13492,1
14200,1
12384,1
12570,1
19191,1
13405,1
8775,0
20449,1
4606,0
19411,1
18864,1
1900,0
7565,0
22169,1
14481,1
21711,1
14267,1
39,0
17036,1
9707,0
13958,1
15350,1
21644,1
12842,1
12010,1
9309,0
2980,0
11629,1
10760,0
13398,1
13747,1
3544,0
2867,0
16750,1
17562,1
10809,0
4570,0
6454,0
1878,0
20060,1
3897,0
20573,1
18072,1
11642,1
2729,0
21117,1
6850,0
414,0
7887,0
14929,1
6386,0
15022,1
19160,1
5067,0
18426,1
6485,0
22986,1
6333,0
15608,1
14853,1
5932,0
16594,1
8065,0
10919,0
16583,1
22268,1
1787,0
36,0
7767,0
4187,0
8867,0
11825,1
1555,0
15399,1
7252,0
6398,0
21099,1
17112,1
19161,1
3708,0
16502,1
17698,1
15714,1
5775,0
12593,1
17227,1
20705,1
7073,0
19919,1
22853,1
10334,0
19993,1
1746,0
17075,1
8879,0
17182,1
11080,0
7260,0
13553,1
16214,1
4038,0
11597,0
3705,0
3955,0
22609,1
11567,0
3428,0
13506,1
2507,0
4681,0
16593,1
8402,0
10859,0
13278,1
4747,0
15320,1
6711,0
5492,0
19423,1
9862,0
10512,0
11687,1
11417,0
11199,0
6048,0
12898,1
1809,0
19737,1
7675,0
13215,1
10107,0
22367,1
1715,0
8994,0
7614,0
8676,0
6436,0
16337,1
17137,1
5828,0
10638,0
14353,1
13410,1
21230,1
7351,0
17952,1
19506,1
17439,1
1250,0
6929,0
21479,1
6531,0
16883,1
7236,0
17415,1
17066,1
8991,0
17949,1
4861,0
2303,0
20855,1
6908,0
15975,1
12343,1
8910,0
8581,0
22463,1
21300,1
8250,0
1257,0
6680,0
8930,0
15437,1
14632,1
13761,1
2822,0
21283,1
1973,0
14264,1
22868,1
267,0
17735,1
7545,0
2770,0
20210,1
2329,0
723,0
5935,0
16227,1
11275,0
9467,0
7991,0
22182,1
13955,1
1894,0
14982,1
10456,0
318,0
1536,0
1471,0
16408,1
17225,1
1369,0
740,0
12636,1
1188,0
10257,0
14649,1
890,0
13531,1
10719,0
20945,1
7383,0
3487,0
6044,0
12920,1
10951,0
11125,0
15503,1
9945,0
1233,0
13290,1
17057,1
15025,1
12354,1
15846,1
17335,1
10172,0
17492,1
12758,1
14003,1
16272,1
11680,1
1291,0
15336,1
16076,1
15142,1
13758,1
12523,1
14049,1
11967,1
7862,0
16876,1
15842,1
21182,1
562,0
10208,0
1031,0
5765,0
20409,1
16723,1
21434,1
21988,1
7058,0
10599,0
4377,0
21092,1
18776,1
16202,1
6976,0
20072,1
15256,1
11102,0
21726,1
14764,1
5712,0
11358,0
7640,0
1249,0
19502,1
11322,0
21737,1
2218,0
16618,1
22147,1
18296,1
17573,1
16359,1
20461,1
22663,1
19035,1
19591,1
19536,1
22172,1
6065,0
11058,0
17246,1
17382,1
16620,1
18240,1
20533,1
6334,0
4549,0
16794,1
7044,0
9328,0
14976,1
15301,1
2354,0
20668,1
12009,1
21981,1
19112,1
5327,0
1434,0
9877,0
264,0
8324,0
21067,1
17769,1
14401,1
20467,1
22417,1
6347,0
8584,0
3378,0
5731,0
19628,1
10969,0
15074,1
8620,0
1437,0
11231,0
18469,1
7960,0
19162,1
4692,0
11636,1
11670,1
7441,0
6255,0
23161,1
21993,1
8594,0
21246,1
22648,1
65,0
20088,1
18874,1
20897,1
6185,0
22780,1
2865,0
17672,1
14756,1
5113,0
4408,0
6025,0
9883,0
16095,1
6890,0
11847,1
7512,0
1421,0
15788,1
22420,1
20928,1
8000,0
7102,0
4349,0
1660,0
73,0
1843,0
770,0
11228,0
19635,1
1285,0
9436,0
17008,1
12892,1
1941,0
21897,1
19296,1
13430,1
8265,0
3397,0
13941,1
13976,1
11823,1
20868,1
9679,0
5064,0
22699,1
13049,1
4027,0
10768,0
20349,1
19640,1
14361,1
5897,0
18080,1
3963,0
3937,0
13800,1
22087,1
1110,0
4414,0
13735,1
9793,0
22146,1
22600,1
10017,0
3146,0
1377,0
16847,1
20032,1
7507,0
144,0
10767,0
6192,0
9990,0
3514,0
22453,1
7272,0
6071,0
16963,1
18244,1
17781,1
1203,0
16635,1
1830,0
9691,0
4181,0
15537,1
9411,0
14958,1
5957,0
12398,1
10240,0
15969,1
14126,1
17651,1
17762,1
1055,0
20443,1
594,0
13638,1
1525,0
12778,1
5824,0
5154,0
13014,1
20329,1
18611,1
19679,1
14294,1
761,0
7824,0
21200,1
2970,0
6999,0
81,0
7042,0
17608,1
8724,0
958,0
8664,0
10482,0
6609,0
12139,1
6026,0
13785,1
7238,0
18387,1
11091,0
18529,1
3954,0
4403,0
18150,1
21966,1
10387,0
4511,0
1666,0
19535,1
6857,0
5353,0
23222,1
4587,0
19133,1
18463,1
11141,0
14919,1
2550,0
19785,1
15255,1
10979,0
3724,0
1264,0
4867,0
16554,1
7255,0
815,0
13187,1
7607,0
4374,0
9464,0
4087,0
8464,0
16797,1
1897,0
11729,1
20063,1
7416,0
20387,1
11459,0
21867,1
21198,1
21640,1
2529,0
19937,1
8104,0
15673,1
20157,1
6922,0
8907,0
660,0
20698,1
8744,0
1118,0
18595,1
1287,0
6204,0
17599,1
7358,0
2316,0
1417,0
13123,1
10783,0
7,0
14727,1
994,0
15003,1
4292,0
13028,1
12469,1
16976,1
2409,0
296,0
1864,0
1912,0
22973,1
15077,1
7942,0
13816,1
1145,0
5789,0
16845,1
21948,1
21705,1
15961,1
18267,1
13713,1
14129,1
3612,0
22209,1
15230,1
21704,1
16072,1
10027,0
16775,1
9855,0
23020,1
21316,1
20667,1
15446,1
8381,0
20205,1
477,0
14602,1
12690,1
4190,0
15677,1
21053,1
20989,1
8834,0
21145,1
15274,1
19986,1
658,0
2723,0
1793,0
21909,1
13864,1
5430,0
16611,1
493,0
12459,1
4253,0
21907,1
1463,0
13888,1
18640,1
16286,1
4008,0
11368,0
14368,1
2287,0
21982,1
13356,1
11982,1
9157,0
444,0
10268,0
12414,1
8630,0
672,0
21706,1
12939,1
22461,1
5740,0
1494,0
15285,1
5261,0
22288,1
11744,1
3751,0
13585,1
756,0
13604,1
10880,0
16381,1
19462,1
22003,1
22767,1
15603,1
14989,1
1374,0
16742,1
9696,0
14000,1
19761,1
6572,0
537,0
8904,0
22458,1
6144,0
646,0
22121,1
15764,1
12482,1
2186,0
3109,0
22159,1
22632,1
12752,1
6747,0
10742,0
9624,0
13056,1
1884,0
242,0
14023,1
21321,1
15964,1
3030,0
2102,0
19329,1
16740,1
7145,0
3891,0
6030,0
1995,0
11144,0
15806,1
21772,1
5403,0
10786,0
22034,1
5292,0
8051,0
18204,1
8090,0
22038,1
4925,0
15778,1
22903,1
13685,1
19026,1
9422,0
10639,0
2978,0
3573,0
13394,1
22295,1
20396,1
1115,0
13850,1
3466,0
5145,0
13075,1
2949,0
12531,1
17636,1
22142,1
18308,1
7388,0
21014,1
15052,1
20175,1
8232,0
20542,1
2538,0
16537,1
5383,0
20476,1
7624,0
9027,0
7025,0
14697,1
14738,1
799,0
17578,1
427,0
22408,1
14054,1
13882,1
14323,1
15322,1
10730,0
20883,1
18698,1
17493,1
17479,1
15579,1
11498,0
7634,0
3131,0
